Name,Logo,Site,Funding Rounds,Location(s),Notes
B-to-v Partners,tsxkignvzns4z3yw3pau.png (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/NR0iHAgBFy8bOwWKQ-2fJA/QN-n-26GHt3EWtURaskDqm3gpL8L_t9__aE1WSu9vf0e7ZEJ9CZ7rSosLkNd9DTTBCG6KOhgacGUhdru--Kxbq2krJM5-5boEJkm0HzZTr8rGEz8kNVyMNEfjIN2YQZ-/bh9C5CziX6CPKF9z0nlIugD4TRwqdhcrfpPMj_Nk9n8),http://www.b-to-v.com/,B-to-v Partners III,"Berlin,""St. Gallen, Switzerland"",Luxembourg",
BBVA Ventures,38a2ee594f3141af6182f435e804728a.png (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/GHDDCtq2bOnAyE1dEMlEDA/HOgxpArO82hvWZ3g8rjx0caSnJWoQONR-jZ5mvxTgmGgwcuVugtXtNtOGYPpQaSGIOmNjFWNypYzrzPFBCjzrCnvv4Kg7mEfOSrwUPKAK9KRXJwLSqim3PTIZfjCJdB7/yhedaEBKcDxniPDHXyfvbFdWuC1VbYPVeWNEtMM9gmI),http://bbvaventures.com/,BBVA Ventures I,"Madrid,SF Bay Area/Silicon Valley",Closed 2/11/16
Bee Partners,hiezkgml1tus5dkxjeud.jpg (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/KkkjukZsRirFx0wO9RzQ5Q/RG6u3chJxEEnOqUx9kg75S4xzV2XSwCukRle1fMMd_DQA8gYVXCjv9ZiorJAjkYE00rurQMLAvWId1v2nj54bWsPjraKR7E9fZ-A1fYoLhYOr_v8dd0JzHRwsj-OuG3z/QiTbw03RhioBLZubO26vN8or5aAQThpGTulvjP6XjOU),http://beepartners.vc/,"Bee Partners II,Bee Partners I",SF Bay Area/Silicon Valley,
Benhamou Global Ventures,fc39e8e9eed001df773b3c4fbf56ef51.jpg (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/5-2kBg0ARinBC61ZxWL9Gg/QU2f7Ul_b9RHS3TnVCfbyuL3Z8eWsnLZFLhRlU9IYTRTGLKUYHR-JAk601jAVpq2Px_HeVUo4l85aoanmiN0a9_vgcmOw-Gx_lZdJZxS5_6348mkw_ru2-PW1FkrT-kd/eptZxrWUvmYpykNs3LfwMgn7juFnIZ-1YLgoAi2Japw),http://benhamouglobalventures.com/,Benhamou Global Ventures III,SF Bay Area/Silicon Valley,
Binary Capital,ni2nou06uafinorvxnbs.png (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/uqDDmIVv2VGpDY-7GnVJ8Q/YKXzSvCB-8slv_7pgJB91bKb8g0F-U603-Xda6DmoSZlRakTt5U65OwZdxyxFs1GKnlDOvfr71kh42kNZmdFhCLmxZLDY1TjCIbQ6gmaSn_CactWOyohrEzHtx7nz5za/PPv_Xl26Zn_owsSkO2rDZ3LzTw3IPFv-Oxt5i29w7YQ),http://www.binarycap.com/,"Binary Capital II,Binary Capital I",SF Bay Area/Silicon Valley,
Blackbird Ventures,ce8300e3ade180ec05e8839e86d11917.png (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/T1H3m1UAzeiAlygPJnq1JA/eP_W55ruq0FCL9euFJfc-D8rRF1b-eSkltTNUoIrluBU_b9-Zogl5vH7EDwc-e1LRa5JlfPgT8cWx8ZH-zJN_E4vBesXSavpkbs6TNSPAZr96xPGj4HiCuzBNCCEhWkb/XZKHBbQKlcFN2d850Ah26Q5UCdzvn1xO50qBlIObEWk),http://www.blackbird.vc/,Blackbird Ventures I,Sydney,
Bloomberg Beta,7efb1b0061d0a6d64bc0710262fa52b0.png (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/cG-NbjU3JJG6gLvtPn7rrw/YvhwL6z3agmmSmBY81U5ycXZ0KnydTZu-mvc1bGnh92t4FX8i15D32f8rwPtayVgfwhuZNWmhRGcBpYKojKI14QESDQUYMleUvinTVy7_a6Q5hoMZzJAJUuXtknSthHr/jIsIPYSuyBUGew4KrRzwY7WOPpA32tCGyRIYE2haWpE),http://www.bloombergbeta.com/,Bloomberg Beta I,"SF Bay Area/Silicon Valley,""New York, NY""",
BlueYard Capital,haafv4fuknpeu9ajnrkh.png (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/QAFiPP3IVrwKsq8b-Y2gWg/BY6na311E2SvgSQysoHnNu6LCra6Hd_Uy7Wgg0RtY6ztiVp85fYA5QoksdoFicQ6YktL4KWN7iCyHha5jEpvnYg3qYTN0sHY1knJp4oHpfny7Q25mV53aIHbDpZnIEXZ/_-AbJU6_Ai-MX4R3FBiOS9mxbqPDkk0XGRpleDT4Xxg),http://blueyard.com/,BlueYard Capital I,Berlin,
BoldStart Ventures,kdufratlexxjucykluau.png (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/GW6GL3q6paNZKB_gynu5IQ/Xs-4XBgekrPho_ZQ498IK4OMXP51f10C24tgzCe-7DNZTqPLLLVubAuRtSgGdIjJuSGfipNlI3kJ8u8OcHtGGUIL9izLiL05irD2rzvt1664_YgFsKgAWyXh7jN2txr1/_hn-8tWo6-KSjje8GHIOJzov8fHlh51KtAcy9KPj4Zg),http://www.boldstart.vc/,"BoldStart Ventures III,BoldStart Ventures II,BoldStart Ventures I","""New York, NY""",
Bowery Capital,7c99758bb96b7c2b8d84563d511a81cc.png (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/XPLNUSQyOx9cGeXp_kPuoQ/dI40S1aOrymKNIcIPRSiDRPLGk0Zvoco_Qa6w2JLGtLvLuuWEl4mCl3kF2-CRbED2Tu1oR3OLtK6UoNxAO0mtlKCjzW_4DtP634PlbB7pC0SAdBTqtVkSlbnzHpq6YJI/0sVPyfyDOVtsPqHP3quyotBle5ZK0rr4GodwW-_D9oQ),http://www.bowerycap.com/,Bowery Capital I,"""New York, NY""",
